uid,date,time,block,init,fund,strat,notes

1,2025-06-10,09:09:33,5749363,1,1000,{1: 1.0},uid-200
2,2025-06-10,09:09:33,5749363,1,1000,{2: 1.0},uid-200
3,2025-06-10,09:09:33,5749363,1,1000,{3: 1.0},uid-200
4,2025-06-10,09:09:33,5749363,1,1000,{4: 1.0},uid-200
5,2025-06-10,09:09:33,5749363,1,1000,{5: 1.0},uid-200
6,2025-06-10,09:09:33,5749363,1,1000,{6: 1.0},uid-200
7,2025-06-10,09:09:33,5749363,1,1000,{7: 1.0},uid-200
8,2025-06-10,09:09:33,5749363,1,1000,{8: 1.0},uid-200
9,2025-06-10,09:09:33,5749363,1,1000,{9: 1.0},uid-200
10,2025-06-10,09:09:33,5749363,1,1000,{10: 1.0},uid-200
11,2025-06-10,09:09:33,5749363,1,1000,{11: 1.0},uid-200
12,2025-06-10,09:09:33,5749363,1,1000,{12: 1.0},uid-200
13,2025-06-10,09:09:33,5749363,1,1000,{13: 1.0},uid-200
14,2025-06-10,09:09:33,5749363,1,1000,{14: 1.0},uid-200
15,2025-06-10,09:09:33,5749363,1,1000,{15: 1.0},uid-200
16,2025-06-10,09:09:33,5749363,1,1000,{16: 1.0},uid-200
17,2025-06-10,09:09:33,5749363,1,1000,{17: 1.0},uid-200
18,2025-06-10,09:09:33,5749363,1,1000,{18: 1.0},uid-200
19,2025-06-10,09:09:33,5749363,1,1000,{19: 1.0},uid-200
20,2025-06-10,09:09:33,5749363,1,1000,{20: 1.0},uid-200
21,2025-06-10,09:09:33,5749363,1,1000,{21: 1.0},uid-200
22,2025-06-10,09:09:33,5749363,1,1000,{22: 1.0},uid-200
23,2025-06-10,09:09:33,5749363,1,1000,{23: 1.0},uid-200
24,2025-06-10,09:09:33,5749363,1,1000,{24: 1.0},uid-200
25,2025-06-10,09:09:33,5749363,1,1000,{25: 1.0},uid-200
26,2025-06-10,09:09:33,5749363,1,1000,{26: 1.0},uid-200
27,2025-06-10,09:09:33,5749363,1,1000,{27: 1.0},uid-200
28,2025-06-10,09:09:33,5749363,1,1000,{28: 1.0},uid-200
29,2025-06-10,09:09:33,5749363,1,1000,{29: 1.0},uid-200
30,2025-06-10,09:09:33,5749363,1,1000,{30: 1.0},uid-200
31,2025-06-10,09:09:33,5749363,1,1000,{31: 1.0},uid-200
32,2025-06-10,09:09:33,5749363,1,1000,{32: 1.0},uid-200
33,2025-06-10,09:09:33,5749363,1,1000,{33: 1.0},uid-200
34,2025-06-10,09:09:33,5749363,1,1000,{34: 1.0},uid-200
35,2025-06-10,09:09:33,5749363,1,1000,{35: 1.0},uid-200
36,2025-06-10,09:09:33,5749363,1,1000,{36: 1.0},uid-200
37,2025-06-10,09:09:33,5749363,1,1000,{37: 1.0},uid-200
38,2025-06-10,09:09:33,5749363,1,1000,{38: 1.0},uid-200
39,2025-06-10,09:09:33,5749363,1,1000,{39: 1.0},uid-200
40,2025-06-10,09:09:33,5749363,1,1000,{40: 1.0},uid-200
41,2025-06-10,09:09:33,5749363,1,1000,{41: 1.0},uid-200
42,2025-06-10,09:09:33,5749363,1,1000,{42: 1.0},uid-200
43,2025-06-10,09:09:33,5749363,1,1000,{43: 1.0},uid-200
44,2025-06-10,09:09:33,5749363,1,1000,{44: 1.0},uid-200
45,2025-06-10,09:09:33,5749363,1,1000,{45: 1.0},uid-200
46,2025-06-10,09:09:33,5749363,1,1000,{46: 1.0},uid-200
